Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
0	7	37	2	0	88	78	9	18	0	93	30	376	124	83	9	0	6	46	23	5
0	13	37	5	0	105	94	18	15	0	79	37	353	150	84	7	1	2	33	33	1
0	13	54	3	0	94	90	25	28	1	108	34	382	133	60	6	1	6	32	25	1
0	10	28	1	1	84	93	16	19	3	93	32	387	124	73	4	3	1	30	34	2
0	2	39	4	0	105	93	15	16	1	84	37	373	138	74	7	0	4	35	31	6
3	14	45	9	0	81	84	16	15	0	95	25	376	143	72	1	2	4	36	28	6
2	11	38	2	2	97	73	15	16	2	98	32	372	140	83	7	0	4	39	39	7
1	7	38	5	0	94	89	15	25	1	88	31	361	173	62	5	1	7	28	41	4
0	7	43	1	2	88	94	13	19	0	118	29	371	136	59	4	0	3	38	33	2
2	8	42	3	2	105	84	19	18	3	95	32	365	143	65	8	1	2	35	37	6
0	9	45	4	1	95	78	17	14	3	94	30	386	123	63	6	1	5	39	36	3
0	9	38	6	0	99	94	23	16	1	102	35	369	144	86	8	1	6	41	36	5
2	10	47	8	1	103	87	17	17	1	82	33	354	142	83	7	2	5	37	39	1
0	7	33	5	0	86	82	14	22	2	94	24	390	116	63	3	1	2	44	31	0
0	11	41	1	2	104	90	16	24	1	92	35	363	148	83	4	0	6	27	35	2
0	12	49	4	2	98	91	21	16	0	78	28	374	155	59	3	1	3	34	47	3
1	10	45	6	0	98	79	25	19	0	78	27	370	139	76	6	1	2	35	40	6
1	7	47	5	1	106	89	17	19	0	85	37	368	143	71	6	1	5	40	34	2
1	14	45	6	1	82	84	26	14	0	92	20	375	133	70	1	0	2	35	26	3
1	13	38	7	0	99	86	22	14	0	107	32	384	138	77	7	2	4	41	44	4
0	7	36	4	0	98	89	9	17	1	88	39	377	130	70	5	1	6	45	36	0
0	6	46	2	2	96	92	15	17	0	79	32	382	125	78	8	3	6	39	29	4
0	5	42	3	1	102	79	12	21	3	85	38	379	135	57	5	2	3	59	47	2
2	7	46	6	0	101	102	18	22	1	94	28	378	133	72	13	0	2	34	36	5
0	9	44	5	0	99	88	15	18	1	95	34	376	136	80	7	0	3	42	27	0
1	8	40	2	0	103	84	18	17	2	101	45	374	143	72	4	0	7	31	39	4
0	4	43	4	1	95	102	17	12	2	94	28	376	132	66	4	0	3	47	34	2
1	9	47	5	1	85	84	15	23	1	106	37	365	133	75	8	0	3	38	34	0
0	8	44	3	0	87	94	13	28	0	90	32	382	134	70	2	1	8	35	25	3
0	6	48	5	2	98	83	11	14	0	96	32	371	131	76	2	0	2	46	36	4
0	9	51	4	1	109	90	17	17	0	98	41	368	153	66	3	0	4	38	36	4
3	20	54	6	0	99	99	17	15	2	107	41	366	158	78	7	1	4	39	30	4
1	8	32	3	0	74	77	13	24	3	98	30	367	139	62	4	0	4	36	40	3
1	7	42	2	1	100	84	13	28	2	81	39	369	149	73	6	2	5	30	45	3
0	9	43	2	1	100	78	15	14	1	90	30	382	122	70	6	0	0	45	35	3
0	8	46	3	1	100	82	20	22	2	106	30	368	150	74	4	1	1	30	29	3
1	9	41	1	1	84	85	16	15	0	88	26	366	131	78	11	2	2	20	37	4
0	5	42	6	0	93	67	15	16	1	82	28	371	138	68	10	3	3	39	31	2
0	8	37	7	2	88	100	15	10	0	107	34	394	116	73	8	1	5	43	26	0
2	12	38	4	2	96	104	19	26	1	94	40	372	135	70	5	2	3	32	33	2
0	9	48	6	0	95	71	21	13	3	117	22	382	133	83	4	1	5	46	41	2
0	13	47	2	0	87	89	20	22	1	97	25	358	131	73	6	2	2	39	28	5
2	12	49	8	1	102	86	22	24	0	104	25	376	139	79	6	0	4	34	32	4
3	9	46	3	1	100	85	14	23	2	82	37	367	140	66	3	1	5	36	30	5
0	18	42	3	1	115	87	21	16	3	92	46	373	138	75	5	0	1	27	34	2
