Blood group antigen proteins	CD markers	Cancer-related genes	Candidate cardiovascular disease genes	Citric acid cycle related proteins	Disease related genes	Enzymes	FDA approved drug targets	G-protein coupled receptors	Nuclear receptors	Plasma proteins	Potential drug targets	Predicted intracellular proteins	Predicted membrane proteins	Predicted secreted proteins	RAS pathway related proteins	RNA polymerase related proteins	Ribosomal proteins	Transcription factors	Transporters	Voltage-gated ion channels
0	10	42	3	1	107	79	16	24	0	87	37	369	141	65	3	0	4	40	40	5
1	9	43	0	0	97	82	14	19	2	108	35	362	143	69	3	0	6	43	38	3
1	8	46	6	0	91	92	24	19	1	100	31	375	139	70	4	0	8	24	34	2
2	9	38	3	2	85	89	21	16	2	90	25	369	134	67	5	0	5	37	30	4
0	3	32	2	0	93	86	19	14	1	88	32	383	129	55	2	2	7	31	32	6
1	13	58	6	1	100	79	21	15	0	90	31	356	150	82	6	1	4	46	43	4
0	10	41	2	0	102	79	14	17	0	85	35	379	128	73	5	0	8	45	31	3
1	8	38	4	2	95	80	12	21	0	93	31	383	134	71	6	1	4	38	34	4
1	9	46	2	1	100	74	17	22	0	90	27	380	126	73	6	0	5	43	34	5
0	7	35	5	0	84	82	16	23	0	87	26	366	129	74	3	1	7	31	31	4
1	8	36	2	1	107	77	13	16	0	95	36	368	132	80	5	1	1	35	30	3
0	6	32	1	0	85	76	7	14	2	91	26	366	142	75	3	1	2	40	34	1
0	12	45	4	1	100	88	21	16	2	95	36	369	157	72	8	1	2	32	36	5
0	10	50	7	0	119	93	23	14	3	95	38	381	127	78	4	0	0	38	39	6
1	12	45	6	1	101	88	20	25	0	90	34	352	150	84	7	0	1	36	39	6
1	10	43	2	0	93	84	21	17	0	87	26	381	126	63	5	0	9	31	28	2
2	7	54	3	0	90	93	19	21	2	102	32	369	130	84	8	2	3	40	31	3
0	11	43	3	0	92	94	17	20	0	99	24	377	133	76	5	1	7	38	32	3
3	15	36	5	1	92	92	16	13	1	93	31	377	121	68	7	1	3	34	30	3
0	5	36	2	0	95	97	18	16	0	87	32	377	133	64	7	0	5	42	30	2
0	10	39	2	0	101	87	20	26	1	99	37	367	155	59	6	1	5	35	40	4
1	6	36	3	0	93	94	15	20	0	104	31	365	141	80	3	0	5	34	32	3
3	12	44	6	2	112	88	18	20	0	110	32	361	145	72	7	0	5	33	34	8
0	4	37	3	1	94	81	20	20	1	98	33	377	144	68	10	1	6	42	32	1
0	12	40	8	2	94	103	18	13	0	104	34	373	142	89	5	0	0	28	28	1
1	7	43	0	1	92	98	19	16	0	92	37	379	145	77	6	0	5	36	30	2
0	6	43	3	2	83	82	15	17	0	94	27	388	136	56	5	1	4	39	41	6
1	9	44	7	0	73	77	17	12	0	81	19	360	150	72	4	2	2	32	29	4
3	9	35	4	0	85	77	17	21	1	92	26	386	137	69	3	0	4	36	35	6
0	10	37	6	2	106	98	14	8	2	115	34	382	147	84	10	0	7	34	39	4
1	15	54	3	1	115	91	18	11	0	96	38	382	138	81	6	1	5	31	31	5
2	8	46	5	0	98	79	19	10	3	81	25	398	126	63	8	0	6	52	32	3
0	7	36	2	3	107	87	15	22	4	108	39	363	143	73	8	1	5	41	40	6
0	9	39	3	1	76	83	10	18	0	93	27	391	116	77	7	0	8	43	31	4
1	14	43	5	1	116	90	19	14	2	107	33	385	144	88	6	2	5	42	34	5
1	15	48	5	0	96	90	20	21	2	96	32	356	160	74	6	0	7	33	40	1
1	9	39	2	0	89	71	7	17	0	88	26	379	139	69	2	1	4	42	32	3
1	16	44	3	1	91	92	20	20	1	96	29	388	131	66	5	0	6	29	34	5
2	12	37	1	1	98	85	15	19	0	91	27	375	151	77	4	1	5	32	24	3
0	8	47	6	2	110	81	13	16	0	117	32	352	145	80	4	0	4	25	36	5
1	12	42	7	1	97	86	18	15	1	99	27	374	140	70	4	1	7	41	35	4
0	8	57	2	2	97	79	14	15	0	100	30	382	134	71	10	2	1	50	36	2
1	6	39	3	2	92	100	15	16	2	80	32	371	141	70	4	0	7	43	25	5
1	12	39	2	0	95	93	16	18	2	100	36	378	144	61	6	1	3	42	32	5
2	9	28	8	0	98	89	25	36	0	93	28	371	164	54	4	2	3	33	42	5
3	8	43	3	1	99	90	11	16	0	95	30	373	133	81	8	0	3	41	33	3
1	12	45	4	1	91	85	17	19	0	109	26	388	130	69	4	3	4	41	33	1
2	9	34	6	0	89	86	23	16	2	91	25	378	130	76	5	2	3	54	34	3
0	8	55	8	1	102	76	15	17	1	88	27	371	132	75	6	1	9	28	25	5
1	13	47	4	1	105	83	14	18	1	96	33	371	143	69	9	1	4	34	35	3
1	15	41	7	0	93	84	11	14	0	87	36	366	140	74	4	4	5	30	39	5
0	7	43	1	0	91	76	14	16	1	95	24	370	139	69	4	0	3	45	31	4
2	6	39	1	0	94	83	8	23	1	83	41	363	148	73	0	0	3	34	34	3
2	7	41	5	4	112	92	15	14	1	114	40	358	140	73	5	0	5	30	37	4
2	12	39	3	1	93	79	14	17	1	84	29	374	135	70	13	0	7	37	35	4
1	9	43	10	2	109	97	20	23	0	101	35	367	148	83	4	0	4	34	34	3
0	5	38	6	0	100	74	17	12	2	83	28	387	132	61	5	3	6	39	36	2
0	10	44	2	1	98	78	15	21	2	99	28	363	128	91	3	0	7	43	31	4
1	14	29	2	0	86	76	11	27	0	81	24	365	140	68	5	0	0	37	30	3
0	7	49	6	1	87	81	15	18	0	97	25	371	128	86	5	2	3	37	29	3
0	10	40	3	0	106	93	15	15	2	101	32	384	121	64	4	1	9	29	33	4
1	6	35	5	0	94	79	15	11	3	90	27	381	119	84	5	1	6	39	37	1
0	10	49	5	0	97	101	23	21	1	114	37	367	158	70	6	0	6	36	39	3
0	10	40	4	2	88	83	20	18	3	90	29	383	130	60	3	0	8	31	29	6
0	10	54	8	2	100	90	23	21	2	103	34	368	131	86	9	0	5	35	36	2
1	10	38	5	0	102	85	14	17	2	98	38	378	140	55	8	0	6	37	31	6
0	6	46	2	1	103	98	19	15	0	102	35	380	142	59	7	0	11	23	46	8
1	11	49	2	1	116	90	18	21	1	110	29	370	157	61	7	0	1	28	36	4
1	11	48	6	1	98	86	18	13	2	100	31	380	118	68	6	2	1	55	38	7
0	13	39	3	0	101	79	23	18	2	97	31	362	137	81	9	0	1	47	28	1
0	17	41	5	0	95	96	17	16	2	85	32	370	149	68	6	0	4	47	35	6
0	13	58	3	1	102	93	20	26	1	93	37	374	141	75	8	1	4	31	37	1
0	8	44	5	2	88	83	17	22	1	93	29	368	151	67	4	2	3	23	41	6
0	14	54	5	1	92	88	18	13	0	86	30	371	137	70	10	0	4	35	30	4
1	5	41	3	0	100	94	16	21	1	86	38	368	147	67	5	2	5	29	38	3
0	14	45	5	0	87	87	22	22	2	98	27	375	131	70	5	0	2	34	27	0
0	8	42	3	0	110	103	12	24	0	101	49	373	141	69	5	0	6	34	40	3
0	13	44	4	0	99	86	20	15	2	105	31	395	135	78	3	0	4	32	30	2
1	13	39	4	1	93	83	17	17	1	96	25	388	112	73	7	2	2	43	33	1
1	5	38	3	1	108	85	13	24	1	100	36	373	140	73	12	1	3	40	31	7
2	9	38	6	2	100	96	27	16	0	95	36	373	146	84	5	0	4	36	28	1
2	11	41	2	1	103	81	12	22	1	99	27	377	132	74	1	0	6	40	31	2
1	10	43	5	3	93	98	11	14	2	99	34	376	134	75	2	2	3	29	29	1
1	6	35	7	0	98	80	12	17	1	101	33	351	146	73	2	1	3	28	40	3
0	9	33	4	0	90	87	18	15	1	105	27	376	120	77	3	0	6	36	32	8
1	10	50	5	1	98	102	14	23	3	94	47	371	155	66	7	1	3	32	38	5
1	8	36	4	1	97	80	17	19	1	77	35	367	144	73	7	1	2	32	36	2
0	8	47	3	1	95	79	20	17	2	91	27	382	136	60	10	1	4	52	35	2
0	12	45	3	1	95	76	16	24	2	93	35	360	156	70	8	1	5	36	32	1
1	11	44	3	1	103	96	22	14	3	96	35	379	141	74	6	2	3	45	36	2
2	10	42	1	0	93	86	20	10	1	101	30	390	138	71	3	1	5	34	38	4
2	11	52	5	0	84	96	14	20	0	97	34	383	129	71	8	3	5	33	30	3
0	11	40	4	1	91	108	20	15	0	92	32	384	126	79	6	1	4	46	24	7
1	6	38	5	1	83	85	10	16	0	82	32	389	124	76	3	1	7	45	32	4
0	10	43	6	0	99	75	13	25	1	97	29	368	144	89	6	3	3	37	32	4
0	5	48	5	1	101	80	20	24	1	96	30	355	142	66	5	1	11	36	36	2
1	8	51	7	0	94	74	16	19	1	95	20	367	139	85	9	0	4	34	30	3
2	10	43	4	1	101	92	20	23	0	80	32	371	141	64	7	0	3	34	36	1
3	11	38	6	0	81	80	21	16	3	106	21	377	129	67	8	2	4	46	26	3
0	12	49	4	0	86	85	13	18	0	87	25	367	131	85	3	1	6	30	26	5
0	11	51	4	1	110	91	22	18	1	115	36	368	142	63	7	1	5	29	28	3
1	7	37	4	1	94	83	16	21	3	90	34	367	138	72	3	0	5	37	31	5
1	4	41	2	0	89	82	11	17	0	89	32	389	134	66	11	3	2	33	32	2
0	3	37	2	1	79	100	11	12	1	110	28	379	121	78	8	1	3	37	30	1
0	7	40	5	1	100	92	20	25	0	90	32	372	149	78	9	0	4	35	33	1
2	13	38	5	1	82	92	14	21	0	108	25	376	135	66	2	0	6	31	28	3
1	12	43	3	4	98	76	13	20	1	83	29	362	144	75	2	1	4	36	34	2
2	15	33	8	0	105	87	23	15	0	93	28	370	147	76	9	2	7	44	32	1
0	11	43	6	0	94	90	19	10	1	102	27	379	123	68	9	0	6	30	38	6
1	10	39	5	0	89	84	21	23	1	93	29	362	155	70	12	1	2	24	37	3
1	6	38	4	0	83	86	22	18	1	97	30	373	156	81	4	2	2	40	34	4
0	9	43	2	1	93	92	16	21	0	80	36	358	175	72	4	1	10	30	45	9
0	6	43	1	0	92	97	10	17	0	101	35	373	137	74	7	1	2	29	26	5
0	9	34	4	0	110	92	18	21	1	84	38	375	124	79	10	1	5	35	21	3
3	11	53	5	0	102	87	27	17	1	78	30	365	147	81	4	0	4	48	27	4
0	12	43	4	0	102	65	17	12	0	103	27	356	153	76	3	0	6	31	38	9
0	5	32	1	0	101	74	13	18	2	91	33	359	142	63	0	0	5	45	34	3
0	11	41	2	1	87	100	10	14	0	100	38	376	132	67	4	1	6	35	47	8
0	3	51	5	1	87	84	12	20	1	95	27	366	135	69	9	0	6	43	33	3
2	5	41	3	0	73	83	6	20	0	101	24	376	133	68	5	0	3	31	34	2
1	16	42	5	1	107	88	23	19	2	97	37	364	148	71	2	0	5	27	38	6
1	4	34	2	0	86	84	16	26	3	83	28	378	148	73	2	0	4	44	39	5
1	11	50	1	0	84	76	20	22	1	88	25	361	150	76	5	0	5	36	38	9
2	9	42	3	1	83	86	24	26	2	100	32	354	168	67	4	0	5	33	46	10
2	10	45	5	2	91	89	19	11	1	88	25	376	137	82	4	0	4	40	38	2
2	11	41	4	1	102	89	19	18	0	98	40	365	129	72	6	0	4	45	41	3
0	12	40	2	0	84	91	20	20	0	100	34	371	126	78	9	0	5	38	32	3
0	9	39	1	1	80	86	15	20	2	100	22	385	122	63	5	1	2	41	33	2
0	13	39	2	0	97	96	19	26	1	93	35	370	137	70	3	0	8	33	33	5
3	12	32	3	1	99	92	15	17	1	84	33	376	131	84	8	1	6	37	34	3
1	5	48	7	0	103	87	14	15	0	95	34	368	128	83	8	0	6	29	34	4
2	10	41	6	2	94	73	18	26	0	104	26	359	147	72	3	0	5	31	34	3
1	12	48	3	2	91	101	17	26	1	108	28	364	145	83	6	0	3	37	35	3
2	9	49	6	0	107	77	24	25	4	91	29	373	148	80	7	0	3	42	29	3
1	7	42	4	0	95	76	11	20	1	87	31	387	133	79	6	2	5	32	34	5
0	7	47	3	2	81	73	12	20	0	89	29	385	124	66	6	1	2	47	28	1
2	6	46	4	0	110	97	16	15	1	100	41	365	142	84	3	0	4	40	30	2
1	6	45	9	0	102	100	25	16	5	94	33	371	116	86	6	0	6	37	25	3
1	10	37	2	1	100	94	17	17	2	92	37	371	124	75	4	2	4	34	27	4
1	11	48	3	2	104	79	23	24	3	97	31	362	146	72	3	2	2	33	35	3
1	9	40	4	0	94	86	18	19	2	87	26	377	141	70	4	0	4	31	24	6
1	14	35	1	0	91	79	17	15	1	100	32	354	148	98	2	0	3	33	30	4
1	9	37	4	0	104	97	16	22	2	103	41	367	146	82	5	2	3	36	28	1
1	8	33	4	0	88	104	20	22	0	87	31	372	125	76	6	0	5	35	35	2
0	10	45	3	0	108	77	13	14	1	84	37	382	132	68	11	1	5	44	40	5
0	8	37	2	3	98	91	15	17	0	103	34	396	137	62	4	0	9	29	34	1
1	13	50	4	1	94	92	17	17	0	103	36	386	127	70	1	0	7	32	34	4
0	12	35	2	1	90	96	17	18	0	109	30	377	129	66	6	0	2	39	27	5
0	11	39	3	1	97	81	17	16	1	99	32	366	127	81	4	1	4	41	31	4
1	9	50	7	1	105	99	24	18	4	118	36	373	149	71	7	0	3	33	39	2
1	15	35	5	0	101	76	26	19	2	102	28	354	156	89	1	0	5	41	36	2
1	10	34	2	0	109	97	19	15	1	98	45	360	150	87	4	1	4	43	33	3
0	11	41	5	1	96	86	19	12	0	88	25	373	134	80	7	0	2	42	29	5
0	3	34	6	0	97	81	14	15	1	94	30	389	118	75	4	0	7	40	35	3
0	8	44	3	0	93	84	10	16	2	84	39	370	137	70	4	3	3	39	38	5
0	6	36	3	0	89	92	11	26	0	103	25	383	114	61	4	0	4	46	28	3
0	9	35	5	2	100	88	24	23	1	76	30	356	145	82	7	5	4	29	39	4
1	10	38	9	1	92	69	13	16	1	96	31	374	124	72	8	0	7	36	33	3
1	11	36	5	0	99	81	20	15	4	88	33	388	124	61	2	0	6	49	33	0
1	12	51	2	0	99	84	20	11	4	81	28	379	144	61	4	3	4	34	30	2
0	7	36	3	1	83	89	17	19	0	102	33	381	131	74	2	1	6	30	35	1
0	6	32	2	1	96	82	22	20	1	85	25	367	148	67	5	1	4	32	35	5
0	11	42	4	2	104	94	18	28	3	92	34	367	142	80	8	1	3	35	40	0
0	10	48	2	0	102	95	12	13	0	101	38	386	125	74	10	1	2	28	32	4
0	7	48	2	1	115	83	14	15	2	114	39	360	138	81	8	0	7	32	42	4
2	9	50	7	0	97	92	19	17	0	107	31	360	136	84	8	1	5	41	38	1
1	10	35	3	4	93	88	17	19	3	109	27	383	120	88	5	0	3	37	23	2
0	10	41	3	1	87	78	23	30	0	87	27	372	140	69	6	0	6	38	36	3
0	11	42	0	1	84	85	22	25	1	83	31	370	139	84	8	3	7	31	33	4
2	18	43	6	0	101	87	15	9	2	104	36	379	130	79	10	2	4	43	33	0
0	10	43	4	2	98	89	14	26	1	111	29	360	135	75	4	1	5	44	40	4
0	8	50	4	1	112	91	12	16	1	86	41	356	152	70	3	1	4	37	39	3
0	6	46	3	0	91	80	19	27	0	102	32	378	154	85	3	1	3	38	36	4
0	7	48	5	0	106	91	14	16	5	89	37	370	152	82	8	1	5	38	39	2
0	9	39	8	2	105	83	18	22	0	84	29	369	136	66	3	2	6	34	24	1
2	6	35	7	1	84	85	17	15	1	97	33	372	124	78	4	0	2	37	26	3
0	10	53	5	0	87	96	21	13	1	97	29	365	142	96	7	0	5	44	32	2
3	7	31	3	1	85	93	16	15	1	81	29	377	149	68	6	1	4	30	37	4
0	10	55	8	2	89	73	12	18	0	82	28	360	144	73	10	1	7	37	33	2
0	10	45	4	2	99	83	22	24	2	93	34	367	136	79	7	2	6	44	46	6
2	16	50	6	2	87	80	17	16	1	98	28	380	132	80	4	0	6	42	24	1
0	10	43	4	0	99	81	13	26	2	103	32	341	160	84	11	0	1	36	42	0
3	12	42	1	2	86	79	18	11	1	95	27	380	143	73	5	1	6	39	33	5
2	14	45	4	1	90	84	18	13	2	103	29	387	136	68	7	0	6	43	32	2
4	12	36	3	0	82	64	24	16	1	88	20	374	128	74	9	0	2	40	32	2
3	12	47	4	1	95	88	16	24	3	98	30	366	149	67	5	0	7	39	27	2
0	8	47	3	3	104	88	21	22	0	93	34	372	144	64	5	0	5	45	34	2
1	8	47	3	2	101	96	14	15	4	103	34	361	139	81	8	4	6	34	45	1
0	11	46	3	2	96	88	21	23	1	89	38	366	156	82	5	1	4	35	42	5
1	16	46	2	1	99	85	20	20	0	89	27	371	142	68	5	0	6	42	36	4
0	8	47	2	0	85	86	19	24	0	91	23	374	137	67	3	1	4	41	33	5
2	11	42	6	1	110	91	14	22	1	95	42	379	134	76	3	0	4	32	38	1
2	11	43	5	1	95	82	14	13	0	83	25	360	129	77	6	0	1	40	37	1
1	14	44	7	0	90	87	18	15	1	95	33	384	129	61	6	0	6	46	26	3
0	8	42	1	1	101	97	16	13	1	102	30	384	122	61	7	1	7	37	31	1
1	5	43	1	0	109	93	30	18	3	93	42	381	143	61	3	1	3	40	50	4
0	13	39	3	0	91	78	16	19	3	92	24	376	135	76	5	0	3	44	29	3
0	13	42	2	0	100	87	9	18	0	93	34	382	146	71	11	2	4	31	32	3
0	15	46	6	0	95	88	14	21	1	94	29	363	140	81	2	0	3	37	37	4
0	10	42	3	1	87	80	15	15	5	90	26	372	136	75	5	1	3	43	32	4
2	6	44	3	1	99	87	19	17	0	98	36	355	139	77	8	0	3	32	24	5
1	5	50	3	0	107	78	21	17	2	95	32	373	142	80	7	3	2	47	38	1
1	6	49	3	2	92	87	15	18	2	80	21	369	134	75	4	0	5	39	27	3
0	6	45	4	2	90	74	17	14	0	88	29	376	135	71	5	1	6	30	33	7
2	9	42	6	2	85	81	19	17	2	83	29	369	123	74	3	0	9	39	34	3
0	6	39	6	1	95	82	18	23	1	98	30	388	120	72	1	2	8	45	30	5
1	9	39	6	0	99	87	14	30	1	90	39	358	142	76	10	1	2	35	42	4
0	9	36	8	0	94	84	15	23	0	93	31	364	147	77	5	0	7	24	37	4
0	1	33	5	1	92	86	16	15	1	81	33	390	116	62	4	0	4	28	27	0
1	8	40	3	1	93	74	20	21	0	88	26	380	129	70	3	2	5	40	36	3
1	9	45	5	1	95	88	16	12	2	86	29	381	133	75	5	0	7	34	31	2
0	15	47	6	0	95	92	16	18	1	100	35	375	146	71	5	1	5	42	26	4
1	8	43	6	0	89	87	14	19	2	81	32	366	136	78	6	2	1	40	33	4
1	14	39	4	0	90	89	21	23	2	89	24	358	144	79	5	0	4	33	30	5
1	9	48	6	0	82	76	14	17	1	100	26	369	136	75	4	1	6	45	34	4
2	12	50	5	3	105	82	19	18	3	87	31	367	135	76	5	1	3	41	32	2
0	5	36	4	0	83	81	14	22	1	74	27	365	155	63	5	1	5	40	35	3
0	9	37	4	0	73	89	11	17	0	98	31	372	138	69	11	0	3	26	30	5
0	10	35	5	0	81	94	14	21	1	103	32	377	142	57	8	0	5	40	32	3
0	7	40	2	0	84	80	16	15	2	86	29	376	121	78	5	0	11	32	27	4
1	8	36	1	2	86	77	11	14	1	94	25	362	153	86	6	0	5	36	33	2
1	14	33	2	0	97	82	12	15	1	81	36	378	133	72	7	2	5	44	24	2
0	10	38	7	1	105	97	21	21	1	84	40	375	128	77	6	1	0	52	40	6
0	11	47	3	0	94	82	17	8	0	106	30	356	147	82	5	0	3	45	26	5
1	10	52	5	2	97	87	16	17	2	104	34	380	122	82	6	0	8	35	29	5
1	10	44	3	0	88	76	12	15	1	96	24	368	136	75	3	1	4	43	21	4
1	11	35	7	1	84	75	15	18	1	102	22	380	125	63	9	1	4	48	34	2
0	5	48	4	0	90	78	10	20	1	105	30	374	129	73	6	0	8	26	32	3
0	10	39	9	0	99	86	14	24	1	102	34	362	158	76	1	1	4	29	42	4
0	10	45	5	0	85	79	23	19	2	88	23	362	136	82	2	0	4	32	29	4
0	15	40	2	1	90	67	22	22	1	86	29	376	141	79	7	0	6	35	32	1
1	13	37	4	1	83	86	16	13	0	94	27	358	141	88	4	0	6	39	22	3
0	7	31	2	1	93	83	21	18	0	89	32	372	139	81	2	0	5	38	35	2
1	13	46	3	0	107	83	17	20	4	92	32	349	157	73	2	2	0	32	30	0
2	9	52	3	1	117	94	16	15	0	109	35	384	128	71	10	0	9	35	39	6
1	12	36	5	0	103	85	21	16	2	75	33	379	136	77	4	1	5	32	26	5
0	10	43	7	3	95	90	14	13	0	107	37	374	129	94	5	1	4	37	45	7
1	5	54	7	2	100	88	17	19	1	87	27	375	152	64	5	1	6	48	37	1
2	14	50	4	0	98	91	15	18	1	90	32	371	132	79	6	0	4	46	30	5
0	5	43	2	0	114	82	20	17	2	95	34	383	134	80	8	0	6	38	30	2
1	13	39	5	1	91	85	26	21	3	91	30	379	151	57	7	0	6	46	34	6
4	10	34	1	3	91	79	9	18	0	94	33	369	139	74	2	1	6	42	35	3
0	11	40	3	1	103	103	16	15	2	89	36	366	144	69	8	1	4	31	37	5
0	5	39	4	0	89	90	6	20	0	94	37	359	127	93	8	1	3	38	41	4
1	9	44	4	0	99	75	15	14	2	94	32	368	156	73	6	0	5	46	33	4
1	12	40	6	0	85	91	16	13	1	98	32	388	118	67	2	0	8	35	34	2
2	11	44	7	0	95	69	20	18	1	112	22	379	131	82	6	0	6	36	29	5
0	7	44	4	0	104	114	26	20	0	91	37	381	135	61	8	2	4	30	31	4
0	8	52	4	1	102	78	16	26	0	112	33	383	131	71	8	0	4	32	34	0
1	5	41	3	2	97	95	13	25	0	96	34	351	139	85	3	0	3	32	32	4
1	11	47	3	1	104	96	16	13	4	100	37	376	118	75	6	2	4	45	33	3
1	16	41	5	2	100	83	23	12	0	103	34	373	137	67	6	1	5	40	38	6
0	9	38	6	0	98	98	14	19	2	97	41	374	140	83	7	1	3	45	37	2
1	7	38	3	2	85	85	17	23	1	100	29	389	115	71	5	1	3	29	27	3
2	7	58	3	2	96	90	15	21	2	102	28	385	117	74	10	2	5	46	26	7
0	9	44	3	0	90	82	17	24	0	87	29	367	129	78	6	0	6	31	28	2
0	9	41	2	0	91	90	12	10	1	94	34	377	121	74	2	1	3	35	31	1
1	19	39	3	1	97	90	27	19	0	102	25	341	163	87	8	0	4	30	45	5
0	6	35	3	0	83	91	18	18	0	82	29	369	154	70	10	0	8	37	32	6
0	9	46	5	0	94	89	21	22	1	98	34	370	146	66	7	0	4	35	32	4
1	4	41	3	0	87	82	8	16	2	94	24	376	131	77	12	1	0	39	28	2
0	9	41	1	1	103	81	21	21	0	94	30	387	140	65	12	0	3	43	27	4
2	8	47	5	0	90	89	21	21	2	88	25	371	149	72	4	1	2	42	34	3
2	7	34	5	2	84	78	8	15	4	95	31	377	114	89	6	1	10	42	31	3
0	9	36	6	0	99	83	20	24	1	96	30	369	137	65	4	0	2	29	32	4
0	14	44	2	4	97	102	21	18	1	102	32	361	132	65	2	0	3	33	34	2
1	11	38	1	2	96	84	15	21	0	96	31	377	136	66	7	1	5	40	36	2
1	13	33	1	2	99	85	15	17	1	89	37	364	135	79	5	0	1	42	43	4
0	9	48	9	0	91	87	15	24	1	93	27	367	137	78	12	0	3	48	27	2
0	15	40	8	0	94	77	15	15	3	93	25	368	141	83	6	0	5	39	30	2
2	7	35	4	1	94	82	7	17	2	82	43	366	141	66	6	0	1	31	46	4
0	10	47	5	1	98	86	9	21	2	99	33	381	135	77	8	0	4	43	30	6
1	13	32	4	0	86	79	17	13	1	84	32	380	138	64	4	1	6	32	27	1
0	3	43	3	1	98	107	12	16	2	90	42	386	126	71	5	0	6	28	20	2
1	9	39	7	1	81	97	21	21	1	109	24	386	130	70	2	2	7	35	27	2
1	15	44	2	1	85	89	25	22	2	90	25	370	136	83	5	0	3	36	36	2
1	9	37	3	0	92	95	17	20	3	95	31	374	123	82	12	0	3	40	26	3
0	10	35	3	0	105	88	18	21	1	96	34	375	141	74	3	1	3	41	34	3
2	11	47	6	0	107	95	17	21	2	95	40	363	135	89	8	1	7	43	28	4
2	5	46	5	3	104	88	24	18	1	93	34	372	139	72	6	0	4	36	30	5
0	12	46	3	1	104	100	13	16	1	103	42	378	134	77	5	0	4	46	26	1
0	12	44	4	1	97	79	18	28	1	101	36	375	145	67	5	1	4	42	38	3
1	11	55	2	0	93	96	22	19	1	94	31	372	132	79	8	1	0	38	40	4
2	12	31	5	0	106	87	18	18	0	78	39	356	156	78	6	0	5	37	40	3
1	3	42	2	1	109	88	19	14	4	78	34	374	120	78	8	1	8	47	24	1
0	6	43	5	1	91	84	19	18	3	95	30	349	149	85	6	2	3	33	36	3
2	9	54	8	0	103	84	17	12	2	105	28	358	146	77	3	0	9	36	37	4
0	13	43	4	1	112	91	23	24	0	100	43	381	133	70	3	0	5	51	39	5
1	7	38	5	1	83	77	15	19	2	103	20	379	145	77	4	0	5	45	24	1
0	7	46	4	1	99	84	9	11	2	103	33	380	116	79	7	1	4	39	31	5
1	8	46	3	1	103	93	18	15	0	90	32	379	129	71	4	0	2	33	26	3
1	9	44	3	0	72	73	23	23	1	85	21	381	125	77	3	1	4	48	25	5
0	12	34	1	1	108	93	14	26	0	81	45	362	143	77	6	1	1	29	34	1
0	9	45	4	0	99	93	18	20	0	88	26	385	129	61	12	0	4	40	28	8
1	5	44	2	0	94	94	9	11	1	90	40	389	119	64	5	2	7	45	32	4
1	5	46	4	0	100	95	19	14	5	99	33	364	139	80	4	2	7	34	43	4
0	18	43	2	0	90	83	13	12	3	94	30	375	137	72	4	0	6	39	35	1
0	7	47	3	1	99	79	13	19	4	86	40	376	143	69	5	0	1	38	29	6
2	14	40	3	1	98	65	13	18	3	80	35	365	146	70	7	0	5	37	42	2
0	3	34	3	1	101	98	14	14	1	79	36	380	133	60	8	1	1	38	28	3
1	14	47	5	0	81	84	25	23	2	85	14	365	151	74	8	1	5	38	29	3
2	12	46	3	2	101	99	13	16	1	95	41	395	119	66	7	1	6	36	22	2
1	10	37	2	1	88	90	18	17	0	90	31	365	142	70	6	1	6	45	35	7
1	15	62	5	1	107	90	19	15	1	112	30	372	138	83	6	1	8	34	34	0
1	9	48	7	0	99	91	15	23	2	106	37	358	151	79	5	2	4	39	35	5
1	6	38	5	1	96	88	16	15	0	86	30	364	151	85	6	0	3	36	38	6
2	10	44	6	0	95	84	23	13	3	98	27	373	118	78	3	0	6	38	39	3
2	13	36	5	3	101	86	18	20	1	82	38	367	140	60	11	1	5	35	33	3
0	13	50	4	1	102	92	13	16	0	98	41	386	131	73	5	0	9	44	35	2
2	12	40	3	2	87	83	15	17	1	89	29	380	137	71	7	0	8	29	35	3
0	9	36	2	0	85	83	11	27	1	83	29	372	133	75	9	1	5	38	29	4
2	11	44	4	0	87	84	21	28	1	92	29	361	158	73	2	1	6	39	35	3
0	12	41	6	0	91	75	19	23	2	92	32	374	143	69	7	1	2	29	41	6
2	6	49	0	0	103	86	14	21	0	94	34	380	134	56	5	1	5	34	40	0
0	7	50	4	0	105	97	13	20	2	98	35	374	130	83	4	1	5	35	35	0
3	7	32	3	1	95	79	16	22	2	101	31	376	136	62	5	1	7	31	31	4
1	11	42	4	1	106	97	16	21	1	88	32	364	143	65	8	0	5	44	39	3
0	11	41	3	1	108	76	22	19	3	97	29	360	147	55	6	0	3	37	46	4
1	2	52	2	2	103	79	19	21	2	70	34	368	143	66	7	0	4	44	37	3
1	9	42	5	0	88	84	16	20	0	86	29	376	133	67	4	1	2	52	41	11
1	10	45	8	0	95	78	20	18	2	100	31	371	132	69	3	1	3	36	32	3
2	12	53	3	2	97	86	14	13	1	100	27	372	132	73	5	1	4	47	37	6
1	8	38	4	1	90	96	13	14	1	93	34	387	133	65	4	2	1	28	33	2
0	10	53	3	0	91	98	18	19	0	99	35	370	146	70	4	0	2	46	38	4
0	8	48	6	1	101	90	15	19	0	93	22	381	135	70	5	0	3	36	27	5
0	8	39	4	0	80	81	14	23	1	80	35	368	124	78	8	0	5	48	38	0
0	3	45	1	0	102	81	17	21	1	82	29	368	142	74	2	0	4	43	33	3
1	18	48	3	0	96	73	16	18	1	109	27	362	155	72	5	0	6	29	29	4
